,Unnamed: 0,wellName,MD,SW,PredictedSw,VSH,PredictedVSH,PHIF,PredictedPHIF
5130,23082,15/9-F-11 B,4267.8,0.199,0.18582106,0.221,0.22238515,0.203,0.21627633
5131,23083,15/9-F-11 B,4267.9,0.193,0.18441257,0.223,0.22508036,0.203,0.2165495
5132,23084,15/9-F-11 B,4268.0,0.188,0.18291944,0.213,0.21371318,0.203,0.21731573
5133,23085,15/9-F-11 B,4268.1,0.193,0.18061224,0.226,0.22860114,0.204,0.2180289
5134,23086,15/9-F-11 B,4268.2,0.19,0.17506164,0.24,0.24294828,0.206,0.21961835
5135,23087,15/9-F-11 B,4268.3,0.193,0.17350596,0.236,0.23948829,0.206,0.2203398
5136,23088,15/9-F-11 B,4268.4,0.184,0.16984975,0.241,0.2445998,0.208,0.22164567
5137,23089,15/9-F-11 B,4268.5,0.185,0.16680041,0.243,0.24628924,0.209,0.22339861
5138,23090,15/9-F-11 B,4268.6,0.178,0.16290933,0.246,0.24973898,0.21,0.2252718
5139,23091,15/9-F-11 B,4268.7,0.168,0.15609342,0.252,0.25681564,0.212,0.2283678
5140,23092,15/9-F-11 B,4268.8,0.157,0.15605,0.246,0.25040144,0.212,0.22808471
5141,23093,15/9-F-11 B,4268.9,0.148,0.1544249,0.235,0.2388737,0.212,0.22902443
5142,23094,15/9-F-11 B,4269.0,0.149,0.15262592,0.238,0.24165742,0.213,0.22942777
5143,23095,15/9-F-11 B,4269.1,0.151,0.15095654,0.237,0.24132125,0.216,0.23028849
5144,23096,15/9-F-11 B,4269.2,0.152,0.15448305,0.22,0.22214077,0.217,0.22828847
5145,23097,15/9-F-11 B,4269.3,0.155,0.15512538,0.194,0.19447368,0.22,0.22850987
5146,23098,15/9-F-11 B,4269.4,0.153,0.15295848,0.176,0.17511648,0.224,0.22898197
5147,23099,15/9-F-11 B,4269.5,0.152,0.15202099,0.159,0.15740435,0.226,0.22716191
5148,23100,15/9-F-11 B,4269.6,0.146,0.14941368,0.15,0.1486348,0.229,0.22743532
5149,23101,15/9-F-11 B,4269.7,0.144,0.14704627,0.152,0.150305,0.23,0.22820507
5150,23102,15/9-F-11 B,4269.8,0.137,0.14436418,0.155,0.15362792,0.231,0.22901516
5151,23103,15/9-F-11 B,4269.9,0.136,0.14456582,0.153,0.15102267,0.232,0.2281721
5152,23104,15/9-F-11 B,4270.0,0.135,0.14392123,0.152,0.15066975,0.232,0.22844969
5153,23105,15/9-F-11 B,4270.1,0.137,0.14229572,0.155,0.15404451,0.233,0.23001152
5154,23106,15/9-F-11 B,4270.2,0.136,0.13895449,0.169,0.16817878,0.236,0.23347786
5155,23107,15/9-F-11 B,4270.3,0.135,0.13462108,0.164,0.16340382,0.24,0.23610264
5156,23108,15/9-F-11 B,4270.4,0.134,0.13057461,0.156,0.15491976,0.243,0.23800227
5157,23109,15/9-F-11 B,4270.5,0.132,0.12647784,0.156,0.15447761,0.247,0.24035725
5158,23110,15/9-F-11 B,4270.6,0.132,0.1278753,0.149,0.14734103,0.246,0.23882952
5159,23111,15/9-F-11 B,4270.7,0.132,0.12582886,0.142,0.14008944,0.247,0.23970295
5160,23112,15/9-F-11 B,4270.8,0.132,0.1258524,0.15,0.14817028,0.247,0.24027616
5161,23113,15/9-F-11 B,4270.9,0.13,0.1244333,0.152,0.15027821,0.249,0.24130233
5162,23114,15/9-F-11 B,4271.0,0.13,0.1214427,0.144,0.14201275,0.251,0.24232468
5163,23115,15/9-F-11 B,4271.1,0.128,0.11917346,0.136,0.13374782,0.253,0.24317268
5164,23116,15/9-F-11 B,4271.2,0.128,0.117232,0.133,0.13015245,0.255,0.24376158
5165,23117,15/9-F-11 B,4271.3,0.128,0.11633564,0.133,0.13101621,0.255,0.24431351
5166,23118,15/9-F-11 B,4271.4,0.126,0.11535963,0.133,0.13020495,0.255,0.24471575
5167,23119,15/9-F-11 B,4271.5,0.126,0.11466543,0.135,0.13272002,0.255,0.24547048
5168,23120,15/9-F-11 B,4271.6,0.127,0.11381417,0.139,0.13729715,0.255,0.24640162
5169,23121,15/9-F-11 B,4271.7,0.126,0.11391077,0.147,0.14556448,0.254,0.24656437
5170,23122,15/9-F-11 B,4271.8,0.125,0.11107857,0.15,0.1492194,0.256,0.24846753
5171,23123,15/9-F-11 B,4271.9,0.126,0.11246038,0.148,0.14698172,0.256,0.24754895
5172,23124,15/9-F-11 B,4272.0,0.125,0.111205064,0.147,0.14509933,0.256,0.24759883
5173,23125,15/9-F-11 B,4272.1,0.124,0.11088652,0.142,0.14045295,0.257,0.24757849
5174,23126,15/9-F-11 B,4272.2,0.123,0.11040326,0.139,0.13705073,0.258,0.24754862
5175,23127,15/9-F-11 B,4272.3,0.124,0.10861818,0.153,0.15254202,0.259,0.24957006
5176,23128,15/9-F-11 B,4272.4,0.123,0.10938177,0.147,0.14592145,0.259,0.24870309
5177,23129,15/9-F-11 B,4272.5,0.121,0.10890057,0.147,0.14607032,0.259,0.2486893
5178,23130,15/9-F-11 B,4272.6,0.12,0.10755723,0.152,0.15062334,0.26,0.2496813
5179,23131,15/9-F-11 B,4272.7,0.117,0.10302954,0.142,0.14086206,0.262,0.25181758
5180,23132,15/9-F-11 B,4272.8,0.115,0.10301884,0.138,0.13664044,0.261,0.25127003
5181,23133,15/9-F-11 B,4272.9,0.113,0.10370726,0.144,0.14246981,0.26,0.25059164
5182,23134,15/9-F-11 B,4273.0,0.113,0.10382407,0.15,0.14969547,0.259,0.25070173
5183,23135,15/9-F-11 B,4273.1,0.112,0.104887076,0.152,0.1512735,0.258,0.24986754
5184,23136,15/9-F-11 B,4273.2,0.112,0.10477684,0.152,0.15150167,0.257,0.24957262
5185,23137,15/9-F-11 B,4273.3,0.11,0.105045,0.148,0.14661156,0.257,0.24944235
5186,23138,15/9-F-11 B,4273.4,0.108,0.104859464,0.146,0.14459093,0.257,0.24915054
5187,23139,15/9-F-11 B,4273.5,0.108,0.10392106,0.153,0.15201284,0.257,0.24989007
5188,23140,15/9-F-11 B,4273.6,0.107,0.10439227,0.139,0.13783403,0.257,0.24877235
5189,23141,15/9-F-11 B,4273.7,0.104,0.10357512,0.133,0.13092534,0.257,0.24824348
5190,23142,15/9-F-11 B,4273.8,0.102,0.102653466,0.145,0.1440653,0.256,0.24920923
5191,23143,15/9-F-11 B,4273.9,0.101,0.10257555,0.146,0.14488162,0.256,0.24921635
5192,23144,15/9-F-11 B,4274.0,0.099,0.10300047,0.148,0.1470278,0.254,0.24836117
5193,23145,15/9-F-11 B,4274.1,0.097,0.101543136,0.159,0.15903659,0.255,0.25011945
5194,23146,15/9-F-11 B,4274.2,0.096,0.10389162,0.159,0.1590315,0.253,0.24836473
5195,23147,15/9-F-11 B,4274.3,0.096,0.1047617,0.157,0.15723258,0.25,0.24630691
5196,23148,15/9-F-11 B,4274.4,0.096,0.10654745,0.146,0.14553358,0.25,0.24506001
5197,23149,15/9-F-11 B,4274.5,0.095,0.104151376,0.159,0.15876235,0.25,0.2467795
5198,23150,15/9-F-11 B,4274.6,0.097,0.10320901,0.167,0.16826569,0.251,0.2481872
5199,23151,15/9-F-11 B,4274.7,0.094,0.10037293,0.171,0.17198129,0.252,0.25026444
5200,23152,15/9-F-11 B,4274.8,0.095,0.10105652,0.171,0.17207812,0.253,0.2505819
5201,23153,15/9-F-11 B,4274.9,0.098,0.10230192,0.164,0.16433203,0.253,0.24992244
5202,23154,15/9-F-11 B,4275.0,0.101,0.10412533,0.162,0.16179354,0.251,0.24832477
5203,23155,15/9-F-11 B,4275.1,0.1,0.10887123,0.15,0.14925432,0.248,0.24488837
5204,23156,15/9-F-11 B,4275.2,0.101,0.11241547,0.147,0.1457255,0.245,0.24242397
5205,23157,15/9-F-11 B,4275.3,0.104,0.11572147,0.153,0.15203372,0.242,0.24112275
5206,23158,15/9-F-11 B,4275.4,0.106,0.11786147,0.172,0.17290546,0.24,0.24146561
5207,23159,15/9-F-11 B,4275.5,0.107,0.11890898,0.174,0.17431071,0.239,0.24110463
5208,23160,15/9-F-11 B,4275.6,0.107,0.11921237,0.162,0.16207156,0.239,0.24009468
5209,23161,15/9-F-11 B,4275.7,0.107,0.11797855,0.147,0.14535062,0.241,0.24002092
5210,23162,15/9-F-11 B,4275.8,0.106,0.119283624,0.14,0.1379733,0.241,0.23916292
5211,23163,15/9-F-11 B,4275.9,0.108,0.12165322,0.153,0.15157454,0.238,0.23855695
5212,23164,15/9-F-11 B,4276.0,0.113,0.12844583,0.148,0.14675115,0.233,0.23480758
5213,23165,15/9-F-11 B,4276.1,0.114,0.13195187,0.14,0.13751842,0.23,0.2323196
5214,23166,15/9-F-11 B,4276.2,0.113,0.12884578,0.157,0.1560192,0.231,0.23462261
5215,23167,15/9-F-11 B,4276.3,0.113,0.12710327,0.163,0.16237222,0.235,0.23651272
5216,23168,15/9-F-11 B,4276.4,0.115,0.12475417,0.157,0.15613537,0.237,0.23780172
5217,23169,15/9-F-11 B,4276.5,0.114,0.121453054,0.15,0.1486456,0.24,0.23949718
